Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
Viktor Lodin,OTT,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2022
Chris Wagner,BOS,1,0,0,0,-1,0,0,2,0,1,11,0,0,0,0,1,0,2022
Kent Johnson,CBJ,9,0,3,3,2,1,2,5,7,8,4,2,2,1,0,0,0,2022
Zac Jones,NYR,12,0,2,2,-7,0,0,8,3,6,4,12,15,13,0,0,0,2022
Hunter Drew,ANA,2,0,0,0,0,1,5,0,1,0,5,0,0,0,0,0,0,2022
Reilly Walsh,N.J,1,0,1,1,0,0,0,2,1,0,0,1,0,2,0,0,0,2022
Turner Elson,DET,2,0,0,0,-1,0,0,1,0,1,3,0,0,1,0,0,0,2022
Nicholas Robertson,TOR,11,1,0,1,-4,2,4,14,4,3,10,4,3,2,0,0,0,2022
Joseph Cramarossa,MIN,1,0,1,1,0,1,2,1,0,0,1,0,1,0,0,0,0,2022
Joel Edmundson,MTL,24,3,3,6,-1,12,35,32,18,9,61,27,5,45,0,0,0,2022
Jordan Harris,MTL,10,1,0,1,3,4,8,9,4,2,10,8,3,11,0,0,0,2022
Marc McLaughlin,BOS,12,3,0,3,-1,3,8,12,3,4,15,4,2,2,5,10,33.33,2022
Bokondji Imama,ARI,4,1,0,1,-2,1,5,3,1,0,10,1,0,0,0,0,0,2022
Fredrik Karlstrom,DAL,3,0,1,1,2,0,0,1,0,0,0,2,0,0,0,0,0,2022
Nikita Okhotiuk,N.J,5,1,1,2,-1,1,2,5,6,2,16,2,1,1,0,0,0,2022
Linus Hogberg,PHI,5,0,2,2,0,1,2,3,3,0,0,4,3,8,0,0,0,2022
Sheldon Dries,VAN,11,2,1,3,-3,0,0,17,2,9,9,1,2,6,7,14,33.33,2022
Nic Petan,VAN,18,0,2,2,-2,2,4,21,11,9,6,6,7,3,15,31,32.61,2022
William Lockwood,VAN,13,0,0,0,-3,3,9,13,4,7,49,2,1,9,0,0,0,2022
Mitchell Chaffee,MIN,2,0,0,0,1,0,0,1,0,1,7,0,0,0,0,0,0,2022
Zach Senyshyn,OTT,2,0,0,0,-1,1,2,0,0,1,4,0,0,0,0,0,0,2022
Matty Beniers,SEA,10,3,6,9,-1,0,0,18,10,8,7,5,6,4,38,53,41.76,2022
Lukas Reichel,CHI,11,0,1,1,-8,0,0,15,4,4,0,7,6,3,16,30,34.78,2022
Alec Regula,CHI,15,1,0,1,-1,6,12,18,17,6,21,13,8,21,0,0,0,2022
Alex Vlasic,CHI,15,1,1,2,-2,1,2,12,3,6,15,5,5,16,0,0,0,2022
Nicholas Abruzzese,TOR,9,1,0,1,-1,1,2,8,1,3,7,3,0,3,2,5,28.57,2022
Thomas Bordeleau,S.J,8,0,4,4,-1,0,0,13,4,8,3,8,9,4,40,49,44.94,2022
Ben Meyers,COL,5,1,0,1,-2,0,0,8,1,3,1,0,1,1,11,13,45.83,2022
Nick Blankenburg,CBJ,7,1,2,3,-3,2,4,13,9,2,19,0,1,12,0,0,0,2022
Tanner Laczynski,PHI,1,0,0,0,-1,0,0,0,1,0,3,0,1,1,2,3,40,2022
Nathan Smith,ARI,10,2,2,4,-1,1,2,14,4,4,26,12,1,6,39,57,40.62,2022
Jack McBain,ARI,10,2,1,3,-6,3,6,13,3,8,33,5,2,9,35,68,33.98,2022
Bobby Brink,PHI,10,0,4,4,-5,0,0,18,5,8,14,4,1,2,3,1,75,2022
Owen Power,BUF,8,2,1,3,3,1,2,10,6,1,1,4,6,9,0,0,0,2022
Michael Eyssimont,WPG,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2022
Jake Sanderson,OTT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
Connor MacKey,CGY,3,0,1,1,-1,1,2,4,1,3,4,1,1,1,0,0,0,2022
Filip Hallander,PIT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
A.J. Greer,N.J,9,1,1,2,0,1,2,14,4,2,20,4,0,3,2,1,66.67,2022
Cole Reinhardt,OTT,1,0,0,0,0,1,2,1,0,0,2,1,0,0,0,0,0,2022
Mark Kastelic,OTT,16,2,2,4,-2,4,14,11,3,8,51,5,9,10,70,50,58.33,2022
Colin White,OTT,24,3,7,10,-11,2,4,47,12,13,27,10,4,4,86,91,48.59,2022
Matt Luff,NSH,28,3,3,6,3,2,4,26,9,8,29,3,3,4,2,0,100,2022
Carson Meyer,CBJ,13,1,2,3,0,3,6,13,7,5,27,1,4,2,0,0,0,2022
Ronnie Attard,PHI,15,2,2,4,-2,4,8,16,17,12,24,9,6,17,0,0,0,2022
Carl Dahlstrom,TOR,3,0,2,2,2,1,2,4,1,0,1,3,2,2,0,0,0,2022
Noah Cates,PHI,16,5,4,9,4,2,4,23,11,9,21,3,10,6,0,7,0,2022
Miles Wood,N.J,3,0,0,0,-2,2,4,2,2,4,5,4,0,1,0,0,0,2022
Hayden Hodgson,PHI,7,1,2,3,-1,4,11,10,1,3,12,0,1,2,1,1,50,2022
Chase Pearson,DET,3,0,0,0,0,0,0,2,1,2,4,0,0,0,2,2,50,2022
Jakub Vrana,DET,26,13,6,19,-9,4,16,67,16,24,14,16,12,9,1,2,33.33,2022
Sasha Chmelevski,S.J,19,0,8,8,2,2,4,31,11,17,20,3,8,4,31,47,39.74,2022
Zachary Hayes,VGK,2,0,0,0,-1,0,0,0,3,0,6,3,0,1,0,0,0,2022
Nicholas Paul,TBL,21,5,8,13,4,3,17,35,9,19,39,5,11,15,93,72,56.36,2022
Zachary Hayes,VGK,1,0,0,0,-1,0,0,1,1,1,6,0,0,0,0,0,0,2022
Jeff Malott,WPG,1,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,2022
Mike Vecchione,WSH,1,0,0,0,-1,0,0,3,0,0,0,0,0,0,0,0,0,2022
Derrick Pouliot,VGK,12,0,4,4,6,2,4,8,13,9,10,10,3,14,0,0,0,2022
Jonny Brodzinski,NYR,25,1,1,2,1,5,10,34,6,12,8,4,5,8,48,48,50,2022
Brayden Pachal,VGK,2,0,0,0,-2,0,0,1,1,1,2,1,1,1,0,0,0,2022
Sheldon Rempal,VAN,1,0,0,0,-1,0,0,2,0,0,0,0,0,0,0,0,0,2022
Josh Archibald,EDM,8,0,1,1,-2,2,7,4,3,2,27,1,3,2,2,2,50,2022
Luke Witkowski,DET,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022
Valtteri Puustinen,PIT,1,0,1,1,2,0,0,1,1,1,1,1,0,0,0,0,0,2022
Jordan Spence,L.A,24,2,6,8,0,1,2,41,39,19,32,11,3,28,0,0,0,2022
Petteri Lindbohm,FLA,9,0,1,1,0,1,5,9,9,7,25,8,4,8,0,0,0,2022
MacKenzie MacEachern,STL,14,0,2,2,-1,2,4,12,3,2,19,2,7,1,0,0,0,2022
Brad Malone,EDM,9,1,1,2,-1,1,2,7,2,2,22,2,0,1,13,14,48.15,2022
Matias MacCelli,ARI,23,1,5,6,-10,2,4,22,14,6,12,19,10,8,2,0,100,2022
J.J. Moser,ARI,19,1,5,6,-8,3,6,19,11,14,17,15,5,34,0,0,0,2022
Evgeni Malkin,PIT,41,20,23,43,-10,11,24,129,45,29,21,48,41,18,164,212,43.62,2022
Brandon Biro,BUF,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2022
Austin Poganski,WPG,16,0,0,0,-3,2,7,9,3,7,23,1,1,5,0,0,0,2022
Braden Schneider,NYR,43,2,9,11,5,3,9,25,23,17,60,20,7,52,0,0,0,2022
Paul Byron,MTL,27,4,3,7,-8,1,2,33,6,4,66,15,9,7,33,36,47.83,2022
Urho Vaakanainen,BOS,29,1,4,5,-5,5,10,28,17,10,27,8,7,28,0,0,0,2022
Jack Eichel,VGK,34,14,11,25,3,5,10,133,33,27,45,29,25,35,184,195,48.55,2022
Noel Acciari,FLA,20,3,5,8,1,4,11,32,7,13,48,6,8,16,83,83,50,2022
Jeffrey Viel,S.J,34,3,2,5,-2,32,104,30,13,9,84,9,13,11,4,8,33.33,2022
Evander Kane,EDM,43,22,16,38,24,26,60,152,54,54,136,27,16,11,9,11,45,2022
Isaac Ratcliffe,PHI,10,1,3,4,-1,5,10,14,2,6,16,1,2,8,0,1,0,2022
Michal Kempny,WSH,15,1,1,2,-3,8,16,10,20,10,22,6,1,19,0,0,0,2022
Quinton Byfield,L.A,40,5,5,10,-7,10,20,39,14,23,20,14,15,12,124,149,45.42,2022
Trey Fix-Wolansky,CBJ,6,1,1,2,-1,0,0,5,1,3,7,3,2,4,0,0,0,2022
Brendan Gaunce,CBJ,31,5,2,7,2,6,12,44,9,18,42,3,8,9,66,59,52.8,2022
Clark Bishop,OTT,9,0,1,1,-3,3,6,8,6,8,12,2,0,3,3,3,50,2022
Gemel Smith,DET,3,0,1,1,-2,1,5,1,0,0,0,0,0,1,6,4,60,2022
Matt Boldy,MIN,47,15,24,39,16,5,10,113,50,33,23,22,27,24,8,15,34.78,2022
Ville Heinola,WPG,13,0,5,5,-2,5,10,25,11,8,9,5,5,7,0,0,0,2022
Darren Raddysh,TBL,4,0,0,0,1,0,0,2,2,1,4,0,1,6,0,0,0,2022
